freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
# base line
2.5,1.0,3.0,6,6,6,6,6,89.992

# mov cpu: 18%~21%
# high freq still benefit
2.0,1.0,3.0,6,6,6,6,6,96.90899999999999
2.5,1.0,3.0,6,6,6,6,6,89.992
3.0,1.0,3.0,6,6,6,6,6,85.24
3.5,1.0,3.0,6,6,6,6,6,82.036
4.0,1.0,3.0,6,6,6,6,6,79.44900000000001

# mov gpu: 16%~19%
# low freq limit seriously
2.5,0.8,3.0,6,6,6,6,6,99.694
2.5,1.0,3.0,6,6,6,6,6,89.992
2.5,1.5,3.0,6,6,6,6,6,84.562
2.5,2.0,3.0,6,6,6,6,6,83.064


# low-low high-high
2.0,0.8,3.0,6,6,6,6,6,106.77199999999999
---
4.0,2.0,3.0,6,6,6,6,6,72.582


# freq and lat: cluster and separate
2.0,0.8,3.0,4,3,3,3,3,106.06
4.0,2.0,3.0,11,9,9,9,9,?
3.0,2.0,3.0,11,9,9,9,9,96.884


# precisely move gpu lower bound
2.5,0.8,3.0,6,6,6,6,6,99.694
2.5,1.0,3.0,6,6,6,6,6,89.992
